rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss
1071.611111111111,6144,1,19,-9609.015383666665,316,,,,,,,,,,
1068.595238095238,12288,2,58,-9592.388872642858,211,0.3448486328125,1632,0.041701432,0.9987486600875854,0.010288843419402838,0.18334928154945374,0.2,0.00025,-4.204251108070214,0.31211337198813754
1071.3484848484848,18432,3,97,-9207.526509212123,189,0.21016438802083334,1636,0.010032966,0.9993252754211426,0.005963230161190343,0.20863816142082214,0.2,0.00025,-4.098832229773204,0.44131688323492807
1071.4,24576,4,133,-9039.921519855556,184,0.17305501302083334,1640,0.011101629,0.9990972876548767,0.00030766305765913177,0.22049859166145325,0.2,0.00025,-4.152868588765462,0.5511994513993462
1072.89,30720,5,167,-9022.53416964,183,0.18977864583333334,1644,0.0152223185,0.999416708946228,-0.0022856794554778994,0.26892831921577454,0.2,0.00025,-4.24540913105011,0.41112008194128674
1074.05,36864,6,200,-9019.98656304,183,0.20719401041666666,1648,0.012514141,0.9993929266929626,-0.001831346220569685,0.2546539604663849,0.2,0.00025,-4.265229518214862,0.4255985105410218
1072.76,43008,7,228,-9274.565846079999,188,0.20353190104166666,1652,0.011370466,0.9995483756065369,-0.0002239017752193225,0.13404783606529236,0.2,0.00025,-4.319505393505096,0.3753749563669165
1073.77,49152,8,255,-9277.640088780001,192,0.2664794921875,1656,0.01564633,0.9994643330574036,0.0025125114819578207,0.24711525440216064,0.2,0.00025,-4.4095418105522795,0.41426365977774066
1072.0,55296,9,283,-9161.10595555,194,0.21366373697916666,1660,0.016018938,0.9995831251144409,-0.0008477054337466446,0.22963860630989075,0.2,0.00025,-4.404166216651599,0.3682884826945762
1070.71,61440,10,310,-8863.588978299998,197,0.22733561197916666,1664,0.015001126,0.9995338916778564,0.00154263877387469,0.16779372096061707,0.2,0.00025,-4.358159691095352,0.38937795674428344
1069.97,67584,11,338,-8569.63306628,199,0.19856770833333334,1668,0.01150205,0.9994383454322815,0.0005411054492772868,0.20415759086608887,0.2,0.00025,-4.399402330319087,0.4357733374151091
1071.04,73728,12,365,-8427.739326190002,201,0.19913736979166666,1672,0.014688927,0.9992257952690125,-0.0007415662742763137,0.22323524951934814,0.2,0.00025,-4.420236239830653,0.5117684251939257
1072.96,79872,13,393,-7982.465609299999,203,0.2305908203125,1676,0.016251227,0.9991271495819092,-0.004824394862225745,0.16614799201488495,0.2,0.00025,-4.430807262659073,0.4646615122134487
1076.62,86016,14,420,-7897.6242519,204,0.24711100260416666,1680,0.0155408345,0.9995645880699158,0.003228771631256677,0.16400688886642456,0.2,0.00025,-4.483305558562279,0.36752513811613124
1079.41,92160,15,449,-7919.220902649999,205,0.344482421875,1684,0.03042529,0.9988369345664978,0.0020198678685119376,0.22479678690433502,0.2,0.00025,-4.510558257500331,0.642670402303338
1080.0,98304,16,476,-7819.375750479999,206,0.3373616536458333,1688,0.020166935,0.9989279508590698,0.008957931303787822,0.21090790629386902,0.2,0.00025,-4.488155052065849,0.621658891128997
1080.45,104448,17,504,-7923.414409279999,207,0.3426513671875,1692,0.027051238,0.9991111159324646,0.007405770059752588,0.13502702116966248,0.2,0.00025,-4.535912697513898,0.3851892117721339
1080.24,110592,18,541,-8028.97801633,204,0.2793782552083333,1696,0.018155882,0.9989796876907349,0.0033243521065742243,0.14965182542800903,0.2,0.00025,-4.5020063271125155,0.5873097544535995
1084.14,116736,19,576,-7541.9316498,202,0.3980712890625,1700,0.05071671,0.9993495941162109,0.012777412855939474,0.1520593762397766,0.2,0.00025,-4.41020967066288,0.33742007799446583
1083.82,122880,20,614,-7591.1589504899985,199,0.3368733723958333,1704,0.030547326,0.9991557598114014,0.005106888243365877,0.21219463646411896,0.2,0.00025,-4.462467710177104,0.4604565550883611
1084.64,129024,21,652,-7544.811993769999,197,0.3815511067708333,1708,0.0324982,0.9992795586585999,0.010096390282948656,0.15572071075439453,0.2,0.00025,-4.438813845316569,0.37732299060250324
1087.21,135168,22,696,-7184.166263520001,194,0.390625,1712,0.03666454,0.9990822076797485,0.011159895700984634,0.20939752459526062,0.2,0.00025,-4.4721217304468155,0.3611333036484818
1090.15,141312,23,735,-6987.700412460001,192,0.24951171875,1716,0.012884934,0.9988008737564087,0.0029869473073631525,0.3634597063064575,0.2,0.00025,-4.462464511394501,0.6779237687587738
1088.08,147456,24,765,-6760.622024449999,192,0.18375651041666666,1720,0.011380921,0.9990983605384827,-0.0028038968084729277,0.26174676418304443,0.2,0.00025,-4.540956636269887,0.5557898016025623
1092.11,153600,25,793,-6402.717022299999,193,0.21476236979166666,1724,0.014967752,0.9989262819290161,-0.0007666502327386601,0.1749434471130371,0.2,0.00025,-4.483711217840512,0.5480011720210314
1094.46,159744,26,824,-6197.768363430001,193,0.23636881510416666,1728,0.015192059,0.998736560344696,-0.0009662516119230228,0.26783499121665955,0.2,0.00025,-4.477266162633896,0.6268308743213614
1092.36,165888,27,854,-6266.22211559,194,0.3087158203125,1732,0.017472504,0.9987355470657349,0.003249457494045297,0.21219435334205627,0.2,0.00025,-4.5373842269182205,0.6435557675237457
1091.2,172032,28,884,-6591.151025300001,194,0.2513427734375,1736,0.023251027,0.9995132684707642,0.0019565876015500785,0.18437616527080536,0.2,0.00025,-4.542395507295926,0.3928572578976552
1090.91,178176,29,917,-6659.6763904300005,194,0.2554931640625,1740,0.017258273,0.9993888735771179,0.0008835136298633491,0.23919950425624847,0.2,0.00025,-4.501268794139226,0.4585195768934985
1094.22,184320,30,949,-6702.7110585499995,194,0.2770589192708333,1744,0.0185458,0.9989044666290283,0.0035740951667927825,0.3284791111946106,0.2,0.00025,-4.515719999869664,0.5760487616062164
1097.48,190464,31,982,-6966.71683516,193,0.3848470052083333,1748,0.024512356,0.9991694688796997,0.014364719128934667,0.12081464380025864,0.2,0.00025,-4.557394782702128,0.3958862579117219
1098.15,196608,32,1017,-7015.699268519999,193,0.3407796223958333,1752,0.027740398,0.9990620613098145,0.002786921148071997,0.11675107479095459,0.2,0.00025,-4.5801864216725034,0.4322034086411198
1097.55,202752,33,1052,-6898.65139034,192,0.18526204427083334,1756,0.011492215,0.9992197155952454,-0.00010491044425483172,0.42780354619026184,0.2,0.00025,-4.584178914626439,0.8178486954420805
1094.33,208896,34,1086,-6914.273460390001,192,0.16837565104166666,1760,0.011714116,0.9993579983711243,-0.00228709669803114,0.46139150857925415,0.2,0.00025,-4.641873712340991,0.7471152901028594
1093.36,215040,35,1117,-6740.751847279999,192,0.17008463541666666,1764,0.014106718,0.9996106624603271,-0.0006907971886297067,0.344299852848053,0.2,0.00025,-4.679749732216199,0.6344493011323115
1089.07,221184,36,1147,-6790.86485038,192,0.3990885416666667,1768,0.042060614,0.9986628890037537,0.01366379117462202,0.18278026580810547,0.2,0.00025,-4.6494810084501905,0.621320724952966
1088.89,227328,37,1176,-6713.917474640001,193,0.3576253255208333,1772,0.033555582,0.9993351101875305,0.009738825266443504,0.10986298322677612,0.2,0.00025,-4.6622835000356035,0.2697982443496585
1087.81,233472,38,1206,-6997.3520278,193,0.2464599609375,1776,0.015149732,0.9993912577629089,0.0008044762119728451,0.2384054809808731,0.2,0.00025,-4.7076596319675446,0.4203930428872506
1085.96,239616,39,1236,-7123.588924629998,193,0.22265625,1780,0.01775018,0.9995437860488892,-0.0011551185525604524,0.1920289397239685,0.2,0.00025,-4.681397472818692,0.3675667958644529
1103.91,245760,40,1267,-6075.24872233,193,0.23148600260416666,1784,0.030251456,0.9992690682411194,-0.003965350935080399,0.13193149864673615,0.2,0.00025,-4.7053825706243515,0.44987346169849235
1134.19,251904,41,1302,-5046.98003719,193,0.3446858723958333,1788,0.028013803,0.9923092722892761,0.0063378803066977225,0.5878297686576843,0.2,0.00025,-4.774152626593907,1.9174021556973457
